#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
4000,-439995.81851106044,92522.47958610978,-347473.3389249507,304.944891665565,466.9670692411714
4050,-440391.9292665657,93165.50007941971,-347226.429187146,307.0642232652834,467.2736183879074
4100,-439652.7255989481,91907.5876404715,-347745.13795847655,302.91826896168277,467.2736183879074
4150,-439474.80787644116,91501.51333065989,-347973.2945457813,301.57988841927175,467.62178328653044
4200,-439499.6905168772,91976.88362698868,-347522.80688988854,303.14666164199,467.6147156290384
4250,-438041.62595405243,91395.88960075493,-346645.7363532975,301.2317631094307,467.6147156290384
4300,-438173.69767611567,91082.25976971153,-347091.43790640414,300.1980703757463,467.6147156290384
4350,-439240.11016567005,91845.65248554421,-347394.45768012584,302.71413685028585,467.79815400675864
4400,-439322.47538095945,92559.89721718706,-346762.5781637724,305.06821645653787,467.79815400675864
4450,-438015.3185475895,92161.16318557604,-345854.15536201344,303.7540287411099,467.73346496662185
4500,-438266.42110638577,91544.66705034474,-346721.754056041,301.7221187878604,467.73346496662185
4550,-437829.64607050153,93461.2471114407,-344368.39895906084,308.03897607177424,467.73346496662185
4600,-439263.7324434861,91874.26391685264,-347389.46852663346,302.8084372825676,467.1363451961684
4650,-438422.1804796483,92022.69094146292,-346399.48953818536,303.2976379951133,467.4182663387004
4700,-437973.47282691183,92278.51451108088,-345694.95831583097,304.14080703977817,467.4182663387004
4750,-438264.5097828442,92164.42447052756,-346100.08531231666,303.76477761198635,466.8447111399359
4800,-439360.1744208406,91426.72379213391,-347933.45062870666,301.33338953785886,466.8447111399359
4850,-439218.6417508004,92676.18301468772,-346542.4587361127,305.45148288086756,467.8350727210257
4900,-439031.5231810522,91186.93550804716,-347844.587673005,300.5430711996495,467.4537061883484
4950,-439230.21551545104,91694.19855692709,-347536.01695852395,302.214959763149,467.4537061883484
5000,-437699.48964747274,92243.84713040285,-345455.6425170699,304.0265468006181,467.1808252231507
5050,-439288.0420392053,92433.51112204755,-346854.53091715777,304.6516604556313,467.1808252231507
5100,-440184.0497817795,91329.13170970764,-348854.91807207186,301.0117357393871,467.1808252231507
5150,-438151.652240413,92070.48575801485,-346081.16648239817,303.4551649574343,467.2916850698629
5200,-438150.76308781886,90428.1310366639,-347722.632051155,298.0421271225297,467.2916850698629
5250,-438152.2421010763,91545.8028314599,-346606.4392696164,301.72586220946636,467.2916850698629
5300,-437514.31183613464,92173.29510441284,-345341.0167317218,303.7940143391174,467.09936155907604
5350,-438898.84921754035,92039.79147976468,-346859.05773777567,303.35399966876474,467.09936155907604
5400,-438302.8992270166,90217.36434465289,-348085.53488236375,297.34746106570196,467.09936155907604
5450,-439115.52222956764,91495.00052792417,-347620.5217016435,301.5584228691312,467.09936155907604
5500,-439629.024698091,91921.04991851785,-347707.97477957315,302.96263929134517,466.917139465573
5550,-439025.73058441165,92845.18921679398,-346180.54136761767,306.00851051590985,466.917139465573
5600,-438500.5341782067,92052.96677249548,-346447.5674057112,303.39742412336676,466.917139465573
5650,-437072.63246795046,92565.65966716663,-344506.9728007838,305.08720891861424,467.35202630806435
5700,-438260.1666586122,91644.28304285937,-346615.8836157528,302.05044319271224,467.35202630806435
5750,-436613.93183529424,91277.2828584582,-345336.648976836,300.84084708186333,467.1448229441653
5800,-438380.5785122982,91505.88810083167,-346874.6904114665,301.59430722670174,466.5852443859915
5850,-437807.1358949095,92616.24664155304,-345190.8892533565,305.25393855548685,466.2913056393849
5900,-437877.2143878946,93284.30995935906,-344592.90442853555,307.4558088143194,466.2913056393849
5950,-437753.11902100267,91876.89474509654,-345876.2242759061,302.8171082308324,466.2913056393849
6000,-437145.87751133274,92275.80957101812,-344870.06794031465,304.13189182632857,466.2913056393849
6050,-436552.44882464944,92014.59227003025,-344537.8565546192,303.27094557945696,466.4908166971588
6100,-437050.21602123254,91790.60816938404,-345259.6078518485,302.53271625819457,466.4908166971588
6150,-437533.91014609975,92487.65247114368,-345046.25767495605,304.83010495807656,466.23344241610386
6200,-437470.3043614712,92695.62614967913,-344774.6782117921,305.51556552024465,466.23344241610386
6250,-435791.7956550773,91879.9843774005,-343911.81127767684,302.8272913516527,466.23344241610386
6300,-435476.07554478943,91757.18463811428,-343718.89090667514,302.4225556229875,466.23344241610386
6350,-436811.20258878125,92257.38350139404,-344553.8190873872,304.0711613332584,466.23344241610386
6400,-436248.27248006244,92296.804127276,-343951.46835278644,304.2010877959163,465.2504740163572
6450,-437424.1777064083,92419.3507704322,-345004.8269359761,304.6049893449065,465.2504740163572
6500,-436817.7816655121,92040.68912718448,-344777.0925383277,303.35695822539236,465.2504740163572
6550,-436565.7348457114,91525.01316617176,-345040.72167953965,301.65734154013904,465.2554201292138
6600,-436687.3953896137,92101.93509195457,-344585.46029765916,303.5588188345688,465.2082308685147
6650,-437254.1892102433,91605.56491059673,-345648.6242996466,301.92283207916296,465.2082308685147
6700,-436279.3219638283,90847.89150684811,-345431.4304569802,299.42561588848616,465.2082308685147
6750,-437284.48835790623,92297.91291551977,-344986.57544238644,304.2047422517025,465.2082308685147
6800,-437221.2017713117,92353.87059608071,-344867.33117523097,304.38917320202773,465.1084168860458
6850,-437856.556629695,93015.56739845313,-344840.98923124187,306.5700600591197,465.1084168860458
6900,-438177.4986955777,91237.0529207292,-346940.4457748485,300.70825320784087,465.4552644657895
6950,-438160.9629912395,92311.62341319746,-345849.33957804204,304.2499306885852,464.52084361487454
7000,-437799.4864895004,90873.46276376072,-346926.0237257397,299.5098962082943,464.61053357388295
7050,-437282.540552706,92118.92849182151,-345163.6120608845,303.61482739059363,465.93498306875586
7100,-437219.4167466045,91100.612192489,-346118.8045541155,300.258558136134,465.0981932837788
7150,-437852.93508133804,92318.59864258871,-345534.33643874933,304.27292035099555,464.8187390540535
7200,-437621.86739966925,92958.91991263552,-344662.9474870337,306.3833555792674,465.0390359019749
7250,-437262.948424438,91264.55475959895,-345998.3936648391,300.79889653379,464.95508715483356
7300,-436402.974230882,92089.7595049291,-344313.21472595294,303.5186893105541,465.05349635134405
7350,-436713.3134501809,92157.05142769011,-344556.26202249085,303.74047679601847,464.28807155946026
7400,-436162.6421887437,92902.55046261154,-343260.09172613214,306.197567477741,464.906087575644
7450,-436277.09441947145,91702.74988490739,-344574.34453456406,302.2431440897712,464.906087575644
7500,-436576.7121990563,91290.65936481487,-345286.0528342414,300.88493471656625,464.906087575644
7550,-436090.89561341377,92152.26859706714,-343938.6270163466,303.7247130619216,465.375924430286
7600,-437077.2002671466,91886.22526780378,-345190.9749993428,302.8478607057863,465.375924430286
7650,-438138.1512628307,91608.34951349115,-346529.80174933956,301.9320098533836,465.375924430286
7700,-436215.09079505876,92317.94861365666,-343897.1421814021,304.27077792027876,465.2626366816317
7750,-436600.83915428957,91267.1249035922,-345333.7142506974,300.8073674727995,465.2626366816317
7800,-435420.0411371647,91982.84029373724,-343437.20084342745,303.16629422322274,465.2626366816317
7850,-436157.5464922176,91751.0204679773,-344406.5260242403,302.4022391312221,465.2626366816317
7900,-433476.9721650961,91322.73132993342,-342154.2408351627,300.9906407241476,465.2626366816317
7950,-435042.5130916713,93035.5047824503,-342007.008309221,306.6357716940684,465.2626366816317
8000,-435519.63967641676,91833.41052477449,-343686.2291516423,302.67378856501074,465.2626366816317
8050,-434893.22559959046,92110.2001590752,-342783.02544051525,303.5860596738652,465.2626366816317
8100,-434902.2567897816,91642.50962865714,-343259.7471611245,302.0445981958618,465.2626366816317
8150,-434341.89898482524,91699.97150402534,-342641.9274807999,302.2339868226846,465.2626366816317
8200,-435346.4432928506,90980.76447717214,-344365.67881567846,299.86355198490287,465.2626366816317
8250,-433979.8769304252,92557.10003123719,-341422.776899188,305.0589972098179,465.2626366816317
8300,-434961.0579845435,91945.50402425068,-343015.55396029283,303.04323759196177,465.6733470531758
8350,-435341.3396503874,91753.28815842103,-343588.05149196635,302.4097132134104,465.8001078133099
8400,-434947.46817864664,92232.20522216843,-342715.2629564782,303.9881762288262,464.820918283768
8450,-434110.48975186725,92707.76116367796,-341402.7285881893,305.5555613195984,464.820918283768
8500,-434711.98469487554,91904.3270151866,-342807.65767968894,302.907522265002,464.6577186056345
8550,-434663.11432649987,92589.17940829115,-342073.93491820875,305.1647276464013,465.29366912247485
8600,-434713.791657754,91984.90259174118,-342728.8890660128,303.1730913523551,464.2098693624158
8650,-435065.18594970787,92483.44675800481,-342581.73919170303,304.81624334581494,464.2098693624158
8700,-432675.2834723133,92857.80780452093,-339817.4756677924,306.05010012618163,464.5220174305207
8750,-433284.3546083132,91774.92394239298,-341509.4306659202,302.4810226057758,464.5220174305207
