#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
23000,-431581.1638753938,92447.86288664344,-339133.30098875036,304.6989624445045,455.66829623458966
23050,-430745.3537106272,92300.6738479436,-338444.6798626836,304.21384201040604,455.66829623458966
23100,-429783.7863467848,92551.3505690911,-337232.4357776937,305.04004755434903,454.5685969759795
23150,-430838.5673299264,91385.76002841667,-339452.8073015098,301.19837704635574,454.5685969759795
23200,-430846.2530651067,91688.46439454099,-339157.7886705657,302.19606053416766,454.5685969759795
23250,-430948.46879548486,91414.70044024164,-339533.76835524326,301.29376176570395,454.4814951426845
23300,-431010.6617768118,92041.60656384625,-338969.0552129656,303.35998200539353,454.4814951426845
23350,-430356.3737185979,91672.20689574885,-338684.1668228491,302.14247743490245,454.4814951426845
23400,-431543.71521508414,91870.07030796353,-339673.6449071206,302.7946155647094,454.89273283585084
23450,-430798.9262272769,92265.34114935398,-338533.5850779229,304.0973889495729,454.89273283585084
23500,-430492.3868162676,92628.51828871694,-337863.8685275507,305.2943846841649,454.89273283585084
23550,-430819.1108966719,92649.64344485992,-338169.467451812,305.3640110979863,454.5072441549595
23600,-430510.9271645015,92335.96833740882,-338174.95882709266,304.33016913776476,454.5072441549595
23650,-430900.9518679392,91726.57044059034,-339174.3814273489,302.32165427242785,454.5072441549595
23700,-430650.16424439056,91595.34879463977,-339054.8154497508,301.88916077692727,454.98306195956036
23750,-429978.537837985,91668.02146245964,-338310.51637552533,302.12868266300853,453.86577890662574
23800,-430772.7393800565,91794.21322863875,-338978.52615141775,302.544598174987,454.18622785066424
23850,-429335.09370771516,93208.78073037563,-336126.31297733955,307.20687198671845,453.8344074834063
23900,-429169.8546063467,90709.03606250399,-338460.8185438427,298.9679621526361,453.8344074834063
23950,-429706.91580891516,91876.90090496559,-337830.0149039496,302.81712853314826,453.8344074834063
24000,-431004.43989028106,91538.55194346163,-339465.8879468194,301.7019640037005,453.8344074834063
24050,-429618.1868236873,91437.07538172154,-338181.11144196574,301.36750734770885,455.15794660380305
24100,-430674.0884031877,91000.82512367617,-339673.26327951154,299.9296698808162,454.62728997666187
24150,-429561.2133072107,91931.44481721778,-337629.76848999294,302.9968998437223,454.62728997666187
24200,-430102.8350174371,91469.02698367694,-338633.8080337602,301.4728166502742,453.7223316963008
24250,-431177.61374200694,91856.43202753796,-339321.181714469,302.74966514870795,453.7223316963008
24300,-430369.97659072396,91787.40158573951,-338582.57500498445,302.52214767738616,453.7223316963008
24350,-430573.22325616144,90215.39883396716,-340357.8244221943,297.3409829379453,453.7223316963008
24400,-430358.5206281103,91221.867466395,-339136.65316171525,300.6582034604979,453.7223316963008
24450,-430387.4115089623,92864.15751683868,-337523.2539921236,306.07102814652336,453.7223316963008
24500,-429765.63313415763,91815.22568163773,-337950.40745251987,302.6138531304537,453.7223316963008
24550,-430405.53214772744,91758.5391383396,-338646.99300938786,302.4270199210297,453.7223316963008
24600,-430770.35570075596,91077.39687915434,-339692.9588216016,300.18204277206803,453.7223316963008
24650,-430377.1607744375,91464.30756924245,-338912.85320519505,301.45726192962803,453.79734933724524
24700,-430130.230219807,91906.15910482724,-338224.0711149798,302.91356065026235,453.79734933724524
24750,-429848.5755114658,92282.60749727866,-337565.9680141871,304.15429711525235,453.4120701643702
24800,-430771.9477763341,91447.05041968953,-339324.8973566446,301.4003840808673,453.4120701643702
24850,-430788.8835485312,93143.75535828403,-337645.12819024717,306.99255482685976,453.17035706683555
24900,-429360.4703757805,92037.61343710542,-337322.85693867505,303.34682105675887,454.4733589935062
24950,-429643.53511722176,91783.67977826492,-337859.8553389568,302.5098809700712,454.0357310064688
25000,-430474.47896063933,91622.76397818715,-338851.71498245216,301.9795184955514,454.55179558166816
25050,-429839.6697856777,92241.61395320829,-337598.05583246937,304.01918647066685,454.55179558166816
25100,-431426.20480279205,91121.81606419242,-340304.3887385996,300.32844398861454,453.4947731780643
25150,-430241.31286412897,91797.81623350299,-338443.496630626,302.55647332071277,453.4947731780643
25200,-431116.8987569546,91439.78308334488,-339677.1156736097,301.37643166298756,453.4947731780643
25250,-429665.85555184423,90991.72219632806,-338674.1333555162,299.89966753753237,453.4947731780643
25300,-430151.67407607846,92572.13884411954,-337579.5352319589,305.10856364151863,452.8256211998661
25350,-430357.4469493269,92279.67890279248,-338077.7680465344,304.14464475906476,452.621045883662
25400,-430851.24808566016,93070.17098855686,-337781.0770971033,306.7500280619577,452.621045883662
25450,-430560.3761447214,91737.61404452655,-338822.7621001949,302.3580528927522,452.621045883662
25500,-429857.99444706854,91560.75767190532,-338297.2367751632,301.77515187636567,453.19234126844935
